soil_profile_id,spatial_unit_id,source_id,source_profile_id,soil_mapping_unit_code,bofek2020_unit,bofek2020_dominant_flag,profile_provenance_class,screening_count_combined,screening_fraction_valid_points,screening_fraction_all_points,screening_fraction_grid_a,screening_fraction_grid_b,grid_fraction_absolute_difference,profile_admission_scope
SOILPHYS_90115240,TOLLEBEEK_OT02_CURRENT,SRC_WUR_SOILPHYSICS,90115240,Mn15A,4019,1,DERIVED_MODAL_PROFILE,70,0.619469026549,0.598290598291,0.576271186441,0.620689655172,0.044418468732,OT.02 profile-context screening basis; not exact area weighting and not current compaction state
SOILPHYS_15100,TOLLEBEEK_OT02_CURRENT,SRC_WUR_SOILPHYSICS,15100,Mv51A,4006,1,DERIVED_MODAL_PROFILE,14,0.123893805310,0.119658119658,0.118644067797,0.120689655172,0.002045587376,OT.02 profile-context screening basis; not exact area weighting and not current compaction state
SOILPHYS_15250,TOLLEBEEK_OT02_CURRENT,SRC_WUR_SOILPHYSICS,15250,Mn15Av,4004,0,DERIVED_MODAL_PROFILE,13,0.115044247788,0.111111111111,0.135593220339,0.086206896552,0.049386323787,OT.02 profile-context screening basis; not exact area weighting and not current compaction state
SOILPHYS_90115270,TOLLEBEEK_OT02_CURRENT,SRC_WUR_SOILPHYSICS,90115270,Mn25A,4018,1,DERIVED_MODAL_PROFILE,5,0.044247787611,0.042735042735,0.033898305085,0.051724137931,0.017825832846,OT.02 profile-context screening basis; not exact area weighting and not current compaction state
SOILPHYS_11020,TOLLEBEEK_OT02_CURRENT,SRC_WUR_SOILPHYSICS,11020,Zn10A,3005,0,DERIVED_MODAL_PROFILE,4,0.035398230088,0.034188034188,0.033898305085,0.034482758621,0.000584453536,OT.02 profile-context screening basis; not exact area weighting and not current compaction state
SOILPHYS_12010,TOLLEBEEK_OT02_CURRENT,SRC_WUR_SOILPHYSICS,12010,Sn13A,3004,0,DERIVED_MODAL_PROFILE,3,0.026548672566,0.025641025641,0.016949152542,0.034482758621,0.017533606078,OT.02 profile-context screening basis; not exact area weighting and not current compaction state
SOILPHYS_11021,TOLLEBEEK_OT02_CURRENT,SRC_WUR_SOILPHYSICS,11021,Zn10Av,3001,1,DERIVED_MODAL_PROFILE,3,0.026548672566,0.025641025641,0.016949152542,0.034482758621,0.017533606078,OT.02 profile-context screening basis; not exact area weighting and not current compaction state
SOILPHYS_90111050,TOLLEBEEK_OT02_CURRENT,SRC_WUR_SOILPHYSICS,90111050,Zn50A,3015,0,DERIVED_MODAL_PROFILE,1,0.008849557522,0.008547008547,0.016949152542,0.000000000000,0.016949152542,OT.02 profile-context screening basis; not exact area weighting and not current compaction state
