# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 273         5.888       52.703      -3.30       Marknesse   
# 267         5.384       52.898      -1.30       Stavoren    
# 269         5.520       52.458      -3.70       Lelystad Airport
# 270         5.752       53.224      1.20        Leeuwarden Airport
# 279         6.574       52.750      15.80       Hoogeveen   
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# DR        : Duur van de neerslag (in 0.1 uur) per uurvak / Precipitation duration (in 0.1 hour) during the hourly division
# RH        : Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# STN,YYYYMMDD,HH,   DR,   RH
  267,19980908,    2,    5,    2
  267,19980908,    3,    0,    0
  267,19980908,    4,    0,    0
  267,19980908,    5,    3,    2
  267,19980908,    6,    0,    0
  267,19980908,    7,    0,    0
  267,19980908,    8,    0,    0
  267,19980908,    9,    0,    0
  267,19980908,   10,    0,    0
  267,19980908,   11,    5,    1
  267,19980908,   12,    4,    1
  267,19980908,   13,    0,    0
  267,19980908,   14,    0,    0
  267,19980908,   15,    0,    0
  267,19980908,   16,    0,    0
  267,19980908,   17,    0,   -1
  267,19980908,   18,    9,   10
  267,19980908,   19,    2,    4
  267,19980908,   20,    0,   -1
  267,19980908,   21,    0,   -1
  267,19980908,   22,    0,   -1
  267,19980908,   23,    0,    0
  267,19980908,   24,    0,    0
  267,19980909,    1,    0,   -1
  267,19980909,    2,    0,   -1
  267,19980909,    3,    0,    0
  267,19980909,    4,    0,    0
  267,19980909,    5,    3,    1
  267,19980909,    6,    7,    3
  267,19980909,    7,    8,    9
  267,19980909,    8,    4,    2
  267,19980909,    9,    0,   -1
  267,19980909,   10,    3,   11
  267,19980909,   11,   10,   57
  267,19980909,   12,    7,    7
  267,19980909,   13,    1,    1
  267,19980909,   14,    6,   93
  267,19980909,   15,    0,    0
  267,19980909,   16,    0,    0
  267,19980909,   17,    0,    0
  267,19980909,   18,    0,    0
  267,19980909,   19,    0,    0
  267,19980909,   20,    0,    0
  267,19980909,   21,    0,    0
  267,19980909,   22,    0,    0
  267,19980909,   23,    0,    0
  267,19980909,   24,    0,    0
  269,19980902,    1,   10,   11
  269,19980902,    2,    2,    3
  269,19980902,    3,    0,   -1
  269,19980902,    4,    0,   -1
  269,19980902,    5,    0,    0
  269,19980902,    6,    0,    0
  269,19980902,    7,    0,    0
  269,19980902,    8,    0,    0
  269,19980902,    9,    0,    0
  269,19980902,   10,    0,    0
  269,19980902,   11,    0,    0
  269,19980902,   12,    0,    0
  269,19980902,   13,    0,    0
  269,19980902,   14,    0,    0
  269,19980902,   15,    0,    0
  269,19980902,   16,    0,    0
  269,19980902,   17,    2,    1
  269,19980902,   18,    0,    0
  269,19980902,   19,    0,    0
  269,19980902,   20,    0,    0
  269,19980902,   21,    3,    7
  269,19980902,   22,   10,   17
  269,19980902,   23,    8,   10
  269,19980902,   24,    0,   -1
  269,19980903,    1,    7,   14
  269,19980903,    2,    9,    4
  269,19980903,    3,    0,   -1
  269,19980903,    4,    0,    0
  269,19980903,    5,    0,    0
  269,19980903,    6,    0,    0
  269,19980903,    7,    0,    0
  269,19980903,    8,    0,    0
  269,19980903,    9,    7,   29
  269,19980903,   10,    9,   21
  269,19980903,   11,    9,    9
  269,19980903,   12,    8,    2
  269,19980903,   13,    8,    5
  269,19980903,   14,   10,    8
  269,19980903,   15,    7,    5
  269,19980903,   16,    4,    2
  269,19980903,   17,    0,    0
  269,19980903,   18,    0,    0
  269,19980903,   19,    0,    0
  269,19980903,   20,    0,   -1
  269,19980903,   21,    0,    0
  269,19980903,   22,    0,    0
  269,19980903,   23,    0,    0
  269,19980903,   24,    0,    0
  269,19980904,    1,    0,   -1
  269,19980904,    2,    0,   -1
  269,19980904,    3,    0,    0
  269,19980904,    4,    0,    0
  269,19980904,    5,    0,    0
  269,19980904,    6,    0,    0
  269,19980904,    7,    0,    0
  269,19980904,    8,    0,    0
  269,19980904,    9,    2,    1
  269,19980904,   10,    0,    0
  269,19980904,   11,    0,    0
  269,19980904,   12,    1,    1
  269,19980904,   13,    0,   -1
  269,19980904,   14,    0,    0
  269,19980904,   15,    0,    0
  269,19980904,   16,    0,    0
  269,19980904,   17,    2,    1
  269,19980904,   18,    0,   -1
  269,19980904,   19,    0,    0
  269,19980904,   20,    0,    0
  269,19980904,   21,    0,    0
  269,19980904,   22,    0,    0
  269,19980904,   23,    0,    0
  269,19980904,   24,    0,    0
  269,19980905,    1,    0,    0
  269,19980905,    2,    0,    0
  269,19980905,    3,    0,    0
  269,19980905,    4,    0,    0
  269,19980905,    5,    0,    0
  269,19980905,    6,    5,    3
  269,19980905,    7,   10,    8
  269,19980905,    8,    5,    1
  269,19980905,    9,    5,    2
  269,19980905,   10,    0,    0
  269,19980905,   11,    0,    0
  269,19980905,   12,    0,    0
  269,19980905,   13,    0,    0
  269,19980905,   14,    0,    0
  269,19980905,   15,    0,    0
  269,19980905,   16,    0,    0
  269,19980905,   17,    1,    2
  269,19980905,   18,   10,   23
  269,19980905,   19,    0,   -1
  269,19980905,   20,    0,    0
  269,19980905,   21,    0,    0
  269,19980905,   22,    0,    0
  269,19980905,   23,    0,    0
  269,19980905,   24,    0,    0
  269,19980906,    1,    0,    0
  269,19980906,    2,    0,    0
  269,19980906,    3,    0,    0
  269,19980906,    4,    0,    0
  269,19980906,    5,    0,    0
  269,19980906,    6,    0,    0
  269,19980906,    7,    0,    0
  269,19980906,    8,    0,    0
  269,19980906,    9,    0,   -1
  269,19980906,   10,    1,    4
  269,19980906,   11,    3,    7
  269,19980906,   12,    0,   -1
  269,19980906,   13,    0,    0
  269,19980906,   14,    0,   -1
  269,19980906,   15,    0,   -1
  269,19980906,   16,    0,    0
  269,19980906,   17,    0,    0
  269,19980906,   18,    0,    0
  269,19980906,   19,    0,    0
  269,19980906,   20,    0,    0
  269,19980906,   21,    0,    0
  269,19980906,   22,    0,    0
  269,19980906,   23,    0,    0
  269,19980906,   24,    0,    0
  269,19980907,    1,    0,    0
  269,19980907,    2,    0,    0
  269,19980907,    3,    0,    0
  269,19980907,    4,    0,    0
  269,19980907,    5,    0,   -1
  269,19980907,    6,    5,    3
  269,19980907,    7,    7,    7
  269,19980907,    8,    4,    2
  269,19980907,    9,    0,    0
  269,19980907,   10,    0,   -1
  269,19980907,   11,    0,    0
  269,19980907,   12,    0,    0
  269,19980907,   13,    0,    0
  269,19980907,   14,    0,    0
  269,19980907,   15,    0,    0
  269,19980907,   16,    0,    0
  269,19980907,   17,    0,    0
  269,19980907,   18,    0,    0
  269,19980907,   19,    0,    0
  269,19980907,   20,    0,    0
  269,19980907,   21,    0,    0
  269,19980907,   22,    0,    0
  269,19980907,   23,    0,    0
  269,19980907,   24,    7,   14
  269,19980908,    1,   10,   22
  269,19980908,    2,    8,    2
  269,19980908,    3,    2,    1
  269,19980908,    4,    0,   -1
  269,19980908,    5,    0,    0
  269,19980908,    6,    0,   -1
  269,19980908,    7,    0,    0
  269,19980908,    8,    0,    0
  269,19980908,    9,    0,    0
  269,19980908,   10,    0,    0
  269,19980908,   11,    3,    1
  269,19980908,   12,    9,    4
  269,19980908,   13,    0,    0
  269,19980908,   14,    0,    0
  269,19980908,   15,    0,   -1
  269,19980908,   16,    0,    0
  269,19980908,   17,    0,    0
  269,19980908,   18,    7,    6
  269,19980908,   19,    8,    4
  269,19980908,   20,    0,   -1
  269,19980908,   21,    0,    0
  269,19980908,   22,    0,    0
  269,19980908,   23,    0,    0
  269,19980908,   24,    0,    0
  269,19980909,    1,    0,    0
  269,19980909,    2,    0,    0
  269,19980909,    3,    0,    0
  269,19980909,    4,    0,    0
  269,19980909,    5,    0,    0
  269,19980909,    6,    8,    6
  269,19980909,    7,    8,   10
  269,19980909,    8,    7,    1
  269,19980909,    9,    0,    0
  269,19980909,   10,    0,    0
  269,19980909,   11,    9,   15
  269,19980909,   12,    0,   -1
  269,19980909,   13,    5,    6
  269,19980909,   14,    0,   -1
  269,19980909,   15,    0,    0
  269,19980909,   16,    0,    0
  269,19980909,   17,    0,    0
  269,19980909,   18,    0,    0
  269,19980909,   19,    0,    0
  269,19980909,   20,    0,    0
  269,19980909,   21,    0,    0
  269,19980909,   22,    0,    0
  269,19980909,   23,    0,    0
  269,19980909,   24,    0,    0
  270,19980902,    1,    4,    3
  270,19980902,    2,    0,   -1
  270,19980902,    3,    0,    0
  270,19980902,    4,    0,    0
  270,19980902,    5,    0,    0
  270,19980902,    6,    0,    0
  270,19980902,    7,    0,    0
  270,19980902,    8,    0,    0
  270,19980902,    9,    0,    0
  270,19980902,   10,    0,    0
  270,19980902,   11,    0,    0
  270,19980902,   12,    0,    0
  270,19980902,   13,    0,    0
  270,19980902,   14,    0,    0
  270,19980902,   15,    0,    0
  270,19980902,   16,    0,    0
  270,19980902,   17,    0,    0
  270,19980902,   18,    0,    0
  270,19980902,   19,    0,    0
  270,19980902,   20,    0,   -1
  270,19980902,   21,    0,   -1
  270,19980902,   22,    0,   -1
  270,19980902,   23,   10,    7
  270,19980902,   24,    8,    4
  270,19980903,    1,   10,    7
  270,19980903,    2,   10,   15
  270,19980903,    3,   10,   14
  270,19980903,    4,    8,    6
  270,19980903,    5,    8,   46
  270,19980903,    6,    3,    3
  270,19980903,    7,    0,   -1
  270,19980903,    8,    0,    0
  270,19980903,    9,    0,    0
  270,19980903,   10,    0,    0
  270,19980903,   11,    9,   10
  270,19980903,   12,   10,    4
  270,19980903,   13,    6,    1
  270,19980903,   14,   10,    6
  270,19980903,   15,   10,   10
  270,19980903,   16,   10,    5
  270,19980903,   17,   10,    6
  270,19980903,   18,    0,   -1
  270,19980903,   19,    0,    0
  270,19980903,   20,    0,    0
  270,19980903,   21,    0,    0
  270,19980903,   22,    0,    0
  270,19980903,   23,    0,    0
  270,19980903,   24,    0,   -1
  270,19980904,    1,    4,    6
  270,19980904,    2,    0,   -1
  270,19980904,    3,    0,    0
  270,19980904,    4,    8,   18
  270,19980904,    5,   10,   31
  270,19980904,    6,    9,    3
  270,19980904,    7,    0,   -1
  270,19980904,    8,    0,   -1
  270,19980904,    9,    0,    0
  270,19980904,   10,    0,    0
  270,19980904,   11,    0,    0
  270,19980904,   12,    0,    0
  270,19980904,   13,    0,    0
  270,19980904,   14,    0,    0
  270,19980904,   15,    0,    0
  270,19980904,   16,    0,    0
  270,19980904,   17,    0,    0
  270,19980904,   18,    0,    0
  270,19980904,   19,    0,    0
  270,19980904,   20,    0,    0
  270,19980904,   21,    0,    0
  270,19980904,   22,    0,    0
  270,19980904,   23,    0,    0
  270,19980904,   24,    0,    0
  270,19980905,    1,    0,    0
  270,19980905,    2,    0,    0
  270,19980905,    3,    0,    0
  270,19980905,    4,    0,    0
  270,19980905,    5,    0,    0
  270,19980905,    6,    0,   -1
  270,19980905,    7,   10,    3
  270,19980905,    8,   10,    5
  270,19980905,    9,   10,    4
  270,19980905,   10,    0,   -1
  270,19980905,   11,    0,    0
  270,19980905,   12,    0,    0
  270,19980905,   13,    7,    3
  270,19980905,   14,    0,    0
  270,19980905,   15,    0,    0
  270,19980905,   16,    0,    0
  270,19980905,   17,    0,    0
  270,19980905,   18,    0,    0
  270,19980905,   19,    0,    0
  270,19980905,   20,    0,    0
  270,19980905,   21,    0,    0
  270,19980905,   22,    0,    0
  270,19980905,   23,    0,    0
  270,19980905,   24,    0,    0
  270,19980906,    1,    0,    0
  270,19980906,    2,    0,    0
  270,19980906,    3,    0,    0
  270,19980906,    4,    0,    0
  270,19980906,    5,    0,    0
  270,19980906,    6,    0,    0
  270,19980906,    7,    0,    0
  270,19980906,    8,    0,    0
  270,19980906,    9,    0,    0
  270,19980906,   10,    0,    0
  270,19980906,   11,    0,    0
  270,19980906,   12,    0,    0
  270,19980906,   13,    0,    0
  270,19980906,   14,    0,    0
  270,19980906,   15,    0,    0
  270,19980906,   16,    0,    0
  270,19980906,   17,    0,    0
  270,19980906,   18,    0,    0
  270,19980906,   19,    0,    0
  270,19980906,   20,    0,    0
  270,19980906,   21,    0,    0
  270,19980906,   22,    0,    0
  270,19980906,   23,    0,    0
  270,19980906,   24,    0,    0
  270,19980907,    1,    0,    0
  270,19980907,    2,    0,    0
  270,19980907,    3,    0,    0
  270,19980907,    4,    0,    0
  270,19980907,    5,    0,    0
  270,19980907,    6,    0,   -1
  270,19980907,    7,    0,    0
  270,19980907,    8,    7,   12
  270,19980907,    9,    6,    5
  270,19980907,   10,    0,    0
  270,19980907,   11,    0,    0
  270,19980907,   12,    0,   -1
  270,19980907,   13,    0,    0
  270,19980907,   14,    0,    0
  270,19980907,   15,    0,    0
  270,19980907,   16,    0,    0
  270,19980907,   17,    0,    0
  270,19980907,   18,    0,    0
  270,19980907,   19,    0,    0
  270,19980907,   20,    0,    0
  270,19980907,   21,    0,    0
  270,19980907,   22,    0,   -1
  270,19980907,   23,    0,    0
  270,19980907,   24,    0,    0
  270,19980908,    1,    0,    0
  270,19980908,    2,    4,    1
  270,19980908,    3,    0,   -1
  270,19980908,    4,    0,    0
  270,19980908,    5,    0,    0
  270,19980908,    6,    0,    0
  270,19980908,    7,    0,    0
  270,19980908,    8,    0,    0
  270,19980908,    9,    0,    0
  270,19980908,   10,    0,    0
  270,19980908,   11,    0,    0
  270,19980908,   12,    0,   -1
  270,19980908,   13,    0,    0
  270,19980908,   14,    0,    0
  270,19980908,   15,    0,    0
  270,19980908,   16,    0,    0
  270,19980908,   17,    0,   -1
  270,19980908,   18,    0,   -1
  270,19980908,   19,   10,    9
  270,19980908,   20,    0,   -1
  270,19980908,   21,    0,   -1
  270,19980908,   22,    0,    0
  270,19980908,   23,    0,   -1
  270,19980908,   24,    0,   -1
  270,19980909,    1,    0,    0
  270,19980909,    2,    0,    0
  270,19980909,    3,    0,    0
  270,19980909,    4,    0,    0
  270,19980909,    5,    0,    0
  270,19980909,    6,    3,    2
  270,19980909,    7,   10,   13
  270,19980909,    8,   10,   11
  270,19980909,    9,    6,    2
  270,19980909,   10,    0,   -1
  270,19980909,   11,    8,   18
  270,19980909,   12,    9,   25
  270,19980909,   13,    6,    7
  270,19980909,   14,    0,    0
  270,19980909,   15,    0,    0
  270,19980909,   16,    0,    0
  270,19980909,   17,    0,    0
  270,19980909,   18,    0,    0
  270,19980909,   19,    0,    0
  270,19980909,   20,    0,    0
  270,19980909,   21,    0,    0
  270,19980909,   22,    0,    0
  270,19980909,   23,    0,    0
  270,19980909,   24,    0,    0
  273,19980902,    1,    9,    2
  273,19980902,    2,    0,    0
  273,19980902,    3,    8,    2
  273,19980902,    4,   10,    4
  273,19980902,    5,    3,    1
  273,19980902,    6,    0,    0
  273,19980902,    7,    0,    0
  273,19980902,    8,    0,    0
  273,19980902,    9,    0,    0
  273,19980902,   10,    0,    0
  273,19980902,   11,    0,    0
  273,19980902,   12,    0,    0
  273,19980902,   13,    0,    0
  273,19980902,   14,    0,    0
  273,19980902,   15,    0,    0
  273,19980902,   16,    0,    0
  273,19980902,   17,    0,    0
  273,19980902,   18,    0,    0
  273,19980902,   19,    0,    0
  273,19980902,   20,    0,   -1
  273,19980902,   21,    0,   -1
  273,19980902,   22,    7,    3
  273,19980902,   23,   10,    6
  273,19980902,   24,   10,    6
  273,19980903,    1,     ,     
  273,19980903,    2,     ,     
  273,19980903,    3,     ,     
  273,19980903,    4,     ,     
  273,19980903,    5,     ,     
  273,19980903,    6,     ,     
  273,19980903,    7,     ,     
  273,19980903,    8,     ,     
  273,19980903,    9,     ,     
  273,19980903,   10,     ,     
  273,19980903,   11,     ,     
  273,19980903,   12,     ,     
  273,19980903,   13,     ,     
  273,19980903,   14,     ,     
  273,19980903,   15,     ,     
  273,19980903,   16,     ,     
  273,19980903,   17,     ,     
  273,19980903,   18,     ,     
  273,19980903,   19,     ,     
  273,19980903,   20,     ,     
  273,19980903,   21,     ,     
  273,19980903,   22,     ,     
  273,19980903,   23,     ,     
  273,19980903,   24,     ,     
  273,19980904,    1,     ,     
  273,19980904,    2,     ,     
  273,19980904,    3,     ,     
  273,19980904,    4,     ,     
  273,19980904,    5,     ,     
  273,19980904,    6,     ,     
  273,19980904,    7,     ,     
  273,19980904,    8,     ,     
  273,19980904,    9,     ,     
  273,19980904,   10,     ,     
  273,19980904,   11,     ,     
  273,19980904,   12,     ,     
  273,19980904,   13,     ,     
  273,19980904,   14,     ,     
  273,19980904,   15,     ,     
  273,19980904,   16,     ,     
  273,19980904,   17,     ,     
  273,19980904,   18,     ,     
  273,19980904,   19,     ,     
  273,19980904,   20,     ,     
  273,19980904,   21,     ,     
  273,19980904,   22,     ,     
  273,19980904,   23,     ,     
  273,19980904,   24,     ,     
  273,19980905,    1,     ,     
  273,19980905,    2,     ,     
  273,19980905,    3,     ,     
  273,19980905,    4,     ,     
  273,19980905,    5,     ,     
  273,19980905,    6,     ,     
  273,19980905,    7,     ,     
  273,19980905,    8,     ,     
  273,19980905,    9,     ,     
  273,19980905,   10,     ,     
  273,19980905,   11,     ,     
  273,19980905,   12,     ,     
  273,19980905,   13,     ,     
  273,19980905,   14,     ,     
  273,19980905,   15,     ,     
  273,19980905,   16,     ,     
  273,19980905,   17,     ,     
  273,19980905,   18,     ,     
  273,19980905,   19,     ,     
  273,19980905,   20,     ,     
  273,19980905,   21,     ,     
  273,19980905,   22,     ,     
  273,19980905,   23,     ,     
  273,19980905,   24,     ,     
  273,19980906,    1,     ,     
  273,19980906,    2,     ,     
  273,19980906,    3,     ,     
  273,19980906,    4,     ,     
  273,19980906,    5,     ,     
  273,19980906,    6,     ,     
  273,19980906,    7,     ,     
  273,19980906,    8,     ,     
  273,19980906,    9,     ,     
  273,19980906,   10,     ,     
  273,19980906,   11,     ,     
  273,19980906,   12,     ,     
  273,19980906,   13,     ,     
  273,19980906,   14,     ,     
  273,19980906,   15,     ,     
  273,19980906,   16,     ,     
  273,19980906,   17,     ,     
  273,19980906,   18,     ,     
  273,19980906,   19,     ,     
  273,19980906,   20,     ,     
  273,19980906,   21,     ,     
  273,19980906,   22,     ,     
  273,19980906,   23,     ,     
  273,19980906,   24,     ,     
  273,19980907,    1,     ,     
  273,19980907,    2,     ,     
  273,19980907,    3,     ,     
  273,19980907,    4,     ,     
  273,19980907,    5,     ,     
  273,19980907,    6,     ,     
  273,19980907,    7,     ,     
  273,19980907,    8,     ,     
  273,19980907,    9,     ,     
  273,19980907,   10,     ,     
  273,19980907,   11,     ,     
  273,19980907,   12,     ,     
  273,19980907,   13,    0,    0
  273,19980907,   14,    0,    0
  273,19980907,   15,    0,    0
  273,19980907,   16,    0,    0
  273,19980907,   17,    0,    0
  273,19980907,   18,    0,    0
  273,19980907,   19,    0,    0
  273,19980907,   20,    0,    0
  273,19980907,   21,    0,    0
  273,19980907,   22,    0,    0
  273,19980907,   23,    0,    0
  273,19980907,   24,    4,    1
  273,19980908,    1,   10,    3
  273,19980908,    2,   10,    4
  273,19980908,    3,    6,    1
  273,19980908,    4,    0,   -1
  273,19980908,    5,    0,    0
  273,19980908,    6,    0,    0
  273,19980908,    7,    0,    0
  273,19980908,    8,    0,    0
  273,19980908,    9,    0,    0
  273,19980908,   10,    0,    0
  273,19980908,   11,    0,    0
  273,19980908,   12,    0,    0
  273,19980908,   13,    0,    0
  273,19980908,   14,    0,    0
  273,19980908,   15,    0,    0
  273,19980908,   16,    0,    0
  273,19980908,   17,    0,    0
  273,19980908,   18,    0,    0
  273,19980908,   19,    5,    2
  273,19980908,   20,    6,    5
  273,19980908,   21,    0,    0
  273,19980908,   22,    0,    0
  273,19980908,   23,    0,    0
  273,19980908,   24,    0,    0
  273,19980909,    1,    0,    0
  273,19980909,    2,    0,    0
  273,19980909,    3,    0,    0
  273,19980909,    4,    0,    0
  273,19980909,    5,    0,    0
  273,19980909,    6,    0,    0
  273,19980909,    7,    8,   14
  273,19980909,    8,    6,    2
  273,19980909,    9,    0,    0
  273,19980909,   10,    0,    0
  273,19980909,   11,    5,   12
  273,19980909,   12,    6,    1
  273,19980909,   13,    4,    9
  273,19980909,   14,    4,   19
  273,19980909,   15,    0,    0
  273,19980909,   16,    0,    0
  273,19980909,   17,    0,    0
  273,19980909,   18,    0,    0
  273,19980909,   19,    0,    0
  273,19980909,   20,    0,    0
  273,19980909,   21,    0,    0
  273,19980909,   22,    0,    0
  273,19980909,   23,    0,    0
  273,19980909,   24,    0,    0
  279,19980902,    1,    0,   -1
  279,19980902,    2,    5,    1
